Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
5, 236, 2500, 5348.5204, 693.388922495442, 292.5948, 2256.728, 0, 
10, 236, 2500, 5826.4892, 704.426599182963, 301.3428, 3348.0596, 0, 
15, 236, 2500, 6190.528, 714.176455166396, 307.3644, 4390.7712, 0, 
20, 236, 2500, 6544.8596, 723.791763780651, 312.5272, 5384.8052, 0, 
25, 236, 2500, 6836.2736, 729.140963427107, 315.5648, 6316.042, 0, 
30, 236, 2500, 7081.5176, 732.906624131258, 318.0492, 7191.7704, 0, 
35, 236, 2500, 7275.3456, 734.858000770224, 319.3732, 8004.3784, 0, 
40, 236, 2500, 7436.4748, 736.016579908869, 320.5656, 8756.1064, 0, 
45, 236, 2500, 7577.1444, 736.08618065738, 321.2384, 9444.0008, 0, 
50, 236, 2500, 7706.0564, 735.699251037221, 321.7324, 10069.896, 0, 
55, 236, 2500, 7824.4328, 735.43344014386, 322.2184, 10638.5828, 0, 
60, 236, 2500, 7933.7092, 734.411434536074, 322.556, 11156.872, 0, 
65, 236, 2500, 8032.6764, 733.356657190322, 322.7836, 11629.0076, 0, 
70, 236, 2500, 8123.4776, 733.122376137744, 323.2056, 12061.4372, 0, 
75, 236, 2500, 8213.0736, 732.714341068082, 323.662, 12460.3268, 0, 
80, 236, 2500, 8296.6024, 732.288618906237, 324.0308, 12828.5212, 0, 
85, 236, 2500, 8375.1868, 731.71997818421, 324.3368, 13169.6272, 0, 
90, 236, 2500, 8447.93, 730.801851910168, 324.4436, 13486.54, 0, 
95, 236, 2500, 8508.6852, 728.753655442244, 324.0764, 13783.0192, 0, 
100, 236, 2500, 8550.0304, 723.80861090116, 322.446, 14062.578, 0, 
