Time,EcoName,NumActiveSites,AboveGroundBiomass_ABIE.BAL,AboveGroundBiomass_BETU.PAP,AboveGroundBiomass_LARI.LAR,AboveGroundBiomass_PICE.GLA,AboveGroundBiomass_PICE.MAR,AboveGroundBiomass_PINU.BAN,AboveGroundBiomass_POPU.TRE,AboveGroundBiomass_BETU.ALL,
0, 236, 2500, 557.3004, 0, 0, 417.9084, 0, 1843.9104, 1480.2988, 353.0504, 
0, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, 236, 2500, 599.7024, 0, 0, 449.6776, 0, 2263.4656, 1659.776, 375.8988, 
5, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
10, 236, 2500, 626.4904, 0, 0, 485.6992, 0, 2568.23, 1747.8816, 398.188, 
10, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
15, 236, 2500, 643.1048, 0, 0, 526.7332, 0, 2791.0352, 1806.2108, 423.444, 
15, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
20, 236, 2500, 698.8308, 0, 0, 597.9212, 0, 2952.526, 1844.944, 450.6376, 
20, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
25, 236, 2500, 752.5252, 0, 0, 670.5392, 0, 3066.0332, 1869.2756, 477.9004, 
25, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
30, 236, 2500, 796.1944, 0, 0, 743.946, 0, 3139.5784, 1881.6504, 520.1484, 
30, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
35, 236, 2500, 836.2976, 0, 0, 813.79, 0, 3183.2164, 1887.6304, 554.4112, 
35, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
40, 236, 2500, 876.7484, 0, 0, 880.9104, 0, 3206.2772, 1890.6172, 581.9216, 
40, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
45, 236, 2500, 917.0476, 0, 0, 947.144, 0, 3218.2328, 1892.4564, 602.2636, 
45, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
50, 236, 2500, 957.9108, 0, 0, 1012.124, 0, 3224.866, 1893.636, 617.5196, 
50, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
55, 236, 2500, 997.3196, 0, 0, 1076.414, 0, 3229.3172, 1894.4644, 626.9176, 
55, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
60, 236, 2500, 1035.7376, 0, 0, 1136.414, 0, 3232.4268, 1895.0424, 634.0884, 
60, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
65, 236, 2500, 1071.9448, 0, 0, 1192.292, 0, 3234.7096, 1895.482, 638.248, 
65, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
70, 236, 2500, 1105.4536, 0, 0, 1243.9108, 0, 3236.3652, 1895.722, 642.026, 
70, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
75, 236, 2500, 1141.5208, 0, 0, 1291.9372, 0, 3237.5948, 1895.962, 646.0588, 
75, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
80, 236, 2500, 1176.3176, 0, 0, 1336.3852, 0, 3238.498, 1896.016, 649.3856, 
80, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
85, 236, 2500, 1210.7716, 0, 0, 1377.1108, 0, 3238.9908, 1896.016, 652.2976, 
85, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
90, 236, 2500, 1244.73, 0, 0, 1414.0952, 0, 3238.2156, 1895.788, 655.1012, 
90, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
95, 236, 2500, 1276.1972, 0, 0, 1446.4852, 0, 3234.02, 1893.8816, 658.1012, 
95, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
100, 236, 2500, 1308.0368, 0, 0, 1473.4324, 0, 3221.6256, 1886.8504, 660.0852, 
100, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
