Year	   month	Tmax	Tmin	Prec	PAR	CO2
1800-1900	1	-11.99	-25.27	61.30	137.51	295.8
1800-1900	2	-9.75	-23.58	54.97	351.52	295.8
1800-1900	3	-2.34	-15.90	50.43	701.53	295.8
1800-1900	4	5.62	-5.79	58.90	974.94	295.8
1800-1900	5	13.85	0.95	75.12	1028.39	295.8
1800-1900	6	20.15	6.80	100.09	998.04	295.8
1800-1900	7	22.39	9.96	119.05	887.35	295.8
1800-1900	8	20.79	8.46	101.17	751.00	295.8
1800-1900	9	15.43	4.10	108.65	558.31	295.8
1800-1900	10	8.05	-0.85	86.35	280.23	295.8
1800-1900	11	-0.20	-8.14	84.55	165.08	295.8
1800-1900	12	-8.61	-19.43	69.47	160.35	295.8
1901	1	-11.8	-24.6	48.0	139.2	295.8
1901	2	-10.7	-24.0	44.0	367.4	295.8
1901	3	-3.3	-15.5	61.0	612.6	295.8
1901	4	8.1	-3.3	56.0	1010.8	295.8
1901	5	15.9	2.7	68.0	1052.2	295.8
1901	6	21.1	7.5	106.0	1047.6	295.8
1901	7	23.7	11.1	101.0	976.4	295.8
1901	8	22.4	9.4	93.0	641.3	295.8
1901	9	16.4	4.4	83.0	564.0	295.8
1901	10	8.3	-1.1	77.0	267.7	295.8
1901	11	-2.0	-9.7	52.0	144.5	295.8
1901	12	-9.2	-18.7	95.0	153.8	295.8
1902	1	-10.9	-22.5	73.0	120.1	296.5
1902	2	-7.8	-20.4	48.0	287.0	296.5
1902	3	0.7	-11.0	52.0	646.7	296.5
1902	4	5.9	-5.0	43.0	869.1	296.5
1902	5	13.0	0.5	59.0	820.7	296.5
1902	6	17.1	4.6	133.0	872.5	296.5
1902	7	21.6	9.4	80.0	991.6	296.5
1902	8	20.1	7.5	95.0	805.8	296.5
1902	9	16.2	4.7	83.0	577.8	296.5
1902	10	6.7	-1.7	73.0	296.8	296.5
1902	11	0.4	-7.4	51.0	153.0	296.5
1902	12	-10.9	-21.2	61.0	173.5	296.5
1903	1	-11.2	-23.7	47.0	134.2	296.8
1903	2	-7.4	-22.0	66.0	328.5	296.8
1903	3	1.2	-11.9	51.0	764.9	296.8
1903	4	6.0	-5.5	58.0	1047.2	296.8
1903	5	14.2	0.4	54.0	1052.7	296.8
1903	6	19.1	6.5	72.0	925.3	296.8
1903	7	20.5	9.2	127.0	951.9	296.8
1903	8	17.9	6.5	128.0	814.6	296.8
1903	9	15.4	3.8	77.0	534.4	296.8
1903	10	8.6	-0.7	71.0	258.1	296.8
1903	11	-1.2	-9.5	74.0	171.6	296.8
1903	12	-11.4	-24.0	62.0	186.4	296.8
1904	1	-14.5	-27.9	73.0	145.2	297.2
1904	2	-13.9	-29.9	52.0	402.4	297.2
1904	3	-4.6	-18.5	69.0	663.6	297.2
1904	4	3.5	-6.7	43.0	929.6	297.2
1904	5	15.0	2.2	82.0	1090.1	297.2
1904	6	19.7	6.2	83.0	849.3	297.2
1904	7	22.4	9.2	108.0	912.8	297.2
1904	8	19.3	6.8	90.0	617.4	297.2
1904	9	13.7	2.3	107.0	503.3	297.2
1904	10	8.2	-1.8	69.0	207.6	297.2
1904	11	1.1	-8.5	63.0	174.9	297.2
1904	12	-11.7	-23.7	55.0	116.1	297.2
1905	1	-12.9	-27.8	68.0	136.8	297.6
1905	2	-11.4	-26.9	29.0	351.9	297.6
1905	3	-2.2	-15.6	11.0	660.6	297.6
1905	4	5.6	-6.5	35.0	806.5	297.6
1905	5	13.3	0.1	65.0	1016.2	297.6
1905	6	20.1	5.9	71.0	940.8	297.6
1905	7	22.8	9.6	115.0	987.8	297.6
1905	8	20.5	7.7	87.0	763.5	297.6
1905	9	15.8	4.8	83.0	581.4	297.6
1905	10	7.4	-1.9	44.0	275.6	297.6
1905	11	-0.8	-10.0	13.0	163.5	297.6
1905	12	-5.2	-19.2	39.0	133.2	297.6
1906	1	-6.9	-20.2	68.0	154.0	298.1
1906	2	-8.5	-24.3	35.0	407.8	298.1
1906	3	-4.5	-19.8	38.0	765.0	298.1
1906	4	6.1	-5.5	16.0	922.4	298.1
1906	5	12.5	-0.3	37.0	839.1	298.1
1906	6	21.1	7.0	74.0	1153.7	298.1
1906	7	23.8	9.2	61.0	922.1	298.1
1906	8	22.7	9.6	56.0	760.7	298.1
1906	9	16.5	4.8	82.0	561.3	298.1
1906	10	8.6	-0.7	84.0	257.5	298.1
1906	11	-0.7	-8.9	124.0	143.0	298.1
1906	12	-10.4	-22.5	53.0	179.8	298.1
1907	1	-12.8	-30.2	57.0	134.7	298.5
1907	2	-11.4	-27.5	44.0	361.2	298.5
1907	3	-2.4	-16.7	40.0	763.3	298.5
1907	4	2.3	-8.7	50.0	980.9	298.5
1907	5	9.4	-2.1	59.0	1268.8	298.5
1907	6	20.2	6.2	83.0	965.0	298.5
1907	7	21.3	9.6	132.0	735.0	298.5
1907	8	18.8	7.3	94.0	817.4	298.5
1907	9	13.9	4.0	105.0	639.2	298.5
1907	10	6.2	-3.3	33.0	289.8	298.5
1907	11	0.7	-8.4	62.0	136.1	298.5
1907	12	-6.0	-16.9	53.0	146.5	298.5
1908	1	-9.7	-26.6	45.0	148.3	298.9
1908	2	-10.3	-23.6	85.0	368.1	298.9
