Time,EcoName,NumActiveSites,AboveGroundBiomass_ABIE.BAL,AboveGroundBiomass_BETU.PAP,AboveGroundBiomass_LARI.LAR,AboveGroundBiomass_PICE.GLA,AboveGroundBiomass_PICE.MAR,AboveGroundBiomass_PINU.BAN,AboveGroundBiomass_POPU.TRE,AboveGroundBiomass_BETU.ALL,
0, ecoregion5d_SandLoam, 2500, 298.3936, 0, 0, 322.1936, 0, 242.6996, 406.422, 393.762, 
0, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, ecoregion5d_SandLoam, 2500, 446.7544, 0, 0, 512.2576, 0, 357.926, 648.9324, 654.7556, 
5, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
10, ecoregion5d_SandLoam, 2500, 659.3748, 0, 0, 784.5888, 0, 512.4556, 1024.836, 1042.21, 
10, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
15, ecoregion5d_SandLoam, 2500, 927.9424, 0, 0, 1176.984, 0, 717.7728, 1569.5128, 1542.7696, 
15, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
20, ecoregion5d_SandLoam, 2500, 1190.1032, 0, 0, 1522.8912, 0, 877.8908, 2045.798, 1956.402, 
20, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
25, ecoregion5d_SandLoam, 2500, 1576.8776, 0, 0, 2049.7896, 0, 1114.78, 2961.3228, 2718.7296, 
25, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
30, ecoregion5d_SandLoam, 2500, 1866.0116, 0, 0, 2494.9172, 0, 1280.8072, 3569.7216, 3195.638, 
30, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
35, ecoregion5d_SandLoam, 2500, 2170.1036, 0, 0, 2868.5816, 0, 1381.1956, 3915.1012, 3347.2468, 
35, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
40, ecoregion5d_SandLoam, 2500, 2459.7212, 0, 0, 3302.2372, 0, 1480.1688, 3830.1428, 3730.9176, 
40, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
45, ecoregion5d_SandLoam, 2500, 2581.7888, 0, 0, 3688.81, 0, 1492.1072, 3367.6788, 3088.8356, 
45, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
50, ecoregion5d_SandLoam, 2500, 2851.1644, 0, 0, 4221.3128, 0, 1563.3012, 3750.0152, 3427.644, 
50, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
55, ecoregion5d_SandLoam, 2500, 2880.5924, 0, 0, 4308.2428, 0, 1387.6668, 3326.9344, 2844.0044, 
55, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
60, ecoregion5d_SandLoam, 2500, 3070.0916, 0, 0, 4657.4092, 0, 1354.204, 3127.0748, 2992.464, 
60, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
65, ecoregion5d_SandLoam, 2500, 3263.2384, 0, 0, 5064.75, 0, 1286.8652, 3393.3644, 3281.3576, 
65, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
70, ecoregion5d_SandLoam, 2500, 3298.3676, 0, 0, 5334.9164, 0, 1131.9364, 3516.2856, 3415.452, 
70, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
75, ecoregion5d_SandLoam, 2500, 3344.2856, 0, 0, 5680.5312, 0, 1054.1844, 3563.078, 3687.788, 
75, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
80, ecoregion5d_SandLoam, 2500, 3267.474, 0, 0, 6089.5544, 0, 973.8856, 3597.452, 3930.9132, 
80, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
85, ecoregion5d_SandLoam, 2500, 3117.9788, 0, 0, 6419.5964, 0, 894.7152, 3743.5372, 4247.49, 
85, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
90, ecoregion5d_SandLoam, 2500, 2678.6, 0, 0, 6564.6588, 0, 795.5248, 3424.6372, 4183.88, 
90, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
95, ecoregion5d_SandLoam, 2500, 2518.1284, 0, 0, 6984.4556, 0, 752.8244, 3349.8348, 4416.3248, 
95, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
100, ecoregion5d_SandLoam, 2500, 2122.8708, 0, 0, 7236.0992, 0, 681.5088, 2230.99, 4247.9428, 
100, vide, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
